word,ratio,cantidadLetras,gotAccent,gotCedilla,doubleVocal,enCC,y
gran,0.25,4,0,0,0,0,1
numeral,0.4286,7,0,0,0,0,1
germà,0.2,5,1,0,0,0,1
empresa,0.4286,7,0,0,0,0,1
davant,0.3333,6,0,0,0,0,1
oficina,0.5714,7,0,0,0,0,1
name,0.5,4,0,0,0,0,0
esquerra,0.5,8,0,0,0,1,1
don’t,0.2,5,0,0,0,0,0
object,0.3333,6,0,0,0,0,0
mitjà,0.2,5,1,0,0,0,1
fresc,0.2,5,0,0,0,0,1
meant,0.4,5,0,0,0,0,0
use,0.6667,3,0,0,0,0,0
paper,0.4,5,0,0,0,0,0
àmplia,0.3333,6,1,0,0,0,1
experience,0.5,10,0,0,0,0,0
habitual,0.5,8,0,0,0,0,1
plane,0.4,5,0,0,0,0,0
ocupat,0.5,6,0,0,0,0,1
natural,0.4286,7,0,0,0,0,0
patró,0.2,5,1,0,0,0,1
portar,0.3333,6,0,0,0,0,1
originals,0.4444,9,0,0,0,0,1
rellotge,0.375,8,0,0,0,0,1
shell,0.2,5,0,0,0,1,0
snow,0.25,4,0,0,0,0,0
qualsevol,0.4444,9,0,0,0,0,1
mine,0.5,4,0,0,0,0,0
catch,0.2,5,0,0,0,1,0
parell,0.3333,6,0,0,0,0,1
machine,0.4286,7,0,0,0,1,0
motion,0.5,6,0,0,0,0,0
puntuació,0.4444,9,1,0,0,0,1
row,0.3333,3,0,0,0,0,0
vadonar,0.4286,7,0,0,0,0,1
seient,0.5,6,0,0,0,0,1
casa,0.5,4,0,0,0,0,1
death,0.4,5,0,0,0,1,0
probable,0.375,8,0,0,0,0,0
over,0.5,4,0,0,0,0,0
arm,0.3333,3,0,0,0,0,0
visit,0.4,5,0,0,0,0,0
nosaltres,0.3333,9,0,0,0,0,1
bit,0.3333,3,0,0,0,0,0
quick,0.4,5,0,0,0,1,0
yard,0.25,4,0,0,0,0,0
bastant,0.2857,7,0,0,0,0,1
temps,0.2,5,0,0,0,0,1
plau,0.5,4,0,0,0,0,1
guide,0.6,5,0,0,0,0,0
significat,0.4,10,0,0,0,0,1
food,0.5,4,0,0,1,0,0
star,0.25,4,0,0,0,0,0
bar,0.3333,3,0,0,0,0,1
corner,0.3333,6,0,0,0,0,0
between,0.4286,7,0,0,1,1,0
area,0.75,4,0,0,0,0,0
among,0.4,5,0,0,0,0,0
solució,0.4286,7,1,0,0,0,1
vaixell,0.4286,7,0,0,0,0,1
speed,0.4,5,0,0,1,0,0
off,0.3333,3,0,0,0,1,1
hivern,0.3333,6,0,0,0,0,1
braç,0.25,4,0,1,0,0,1
group,0.4,5,0,0,0,0,0
ànec,0.25,4,1,0,0,0,1
seure,0.6,5,0,0,0,0,1
some,0.5,4,0,0,0,0,0
pregunto,0.375,8,0,0,0,0,1
imant,0.4,5,0,0,0,0,1
fear,0.5,4,0,0,0,0,0
length,0.1667,6,0,0,0,1,0
podia,0.6,5,0,0,0,0,1
engine,0.5,6,0,0,0,0,0
llibre,0.3333,6,0,0,0,0,1
real,0.5,4,0,0,0,0,0
idea,0.75,4,0,0,0,0,1
així,0.5,4,1,0,0,0,1
primer,0.3333,6,0,0,0,0,1
campana,0.4286,7,0,0,0,0,1
nou,0.6667,3,0,0,0,0,1
diners,0.3333,6,0,0,0,0,1
blue,0.5,4,0,0,0,0,0
office,0.5,6,0,0,0,1,0
where,0.4,5,0,0,0,1,0
like,0.5,4,0,0,0,0,0
vestit,0.3333,6,0,0,0,0,1
cua,0.6667,3,0,0,0,0,1
hurry,0.2,5,0,0,0,0,0
nation,0.5,6,0,0,0,0,0
dama,0.5,4,0,0,0,0,1
tocar,0.4,5,0,0,0,0,1
before,0.5,6,0,0,0,0,0
of,0.5,2,0,0,0,0,0
demostrar,0.3333,9,0,0,0,0,1
continuació,0.4545,11,1,0,0,0,1
cap,0.3333,3,0,0,0,0,1
cantonada,0.4444,9,0,0,0,0,1
correct,0.2857,7,0,0,0,0,0
skill,0.2,5,0,0,0,1,0
receive,0.5714,7,0,0,0,0,0
llet,0.25,4,0,0,0,0,1
boy,0.3333,3,0,0,0,0,0
main,0.5,4,0,0,0,0,0
rotllo,0.3333,6,0,0,0,0,1
then,0.25,4,0,0,0,1,0
slave,0.4,5,0,0,0,0,0
tone,0.5,4,0,0,0,0,0
eren,0.5,4,0,0,0,0,1
south,0.4,5,0,0,0,1,0
mercat,0.3333,6,0,0,0,0,1
tie,0.6667,3,0,0,0,0,0
poblar,0.3333,6,0,0,0,0,1
frase,0.4,5,0,0,0,0,1
vostè,0.2,5,1,0,0,0,1
sobre,0.4,5,0,0,0,0,1
visita,0.5,6,0,0,0,0,1
endevinar,0.4444,9,0,0,0,0,1
molts,0.2,5,0,0,0,0,1
supply,0.1667,6,0,0,0,1,0
calor,0.4,5,0,0,0,0,1
forward,0.2857,7,0,0,0,0,0
would,0.4,5,0,0,0,0,0
filferro,0.375,8,0,0,0,0,1
batre,0.4,5,0,0,0,0,1
arribar,0.4286,7,0,0,0,0,1
little,0.3333,6,0,0,0,1,0
melodia,0.5714,7,0,0,0,0,1
square,0.5,6,0,0,0,1,0
dress,0.2,5,0,0,0,0,0
clar,0.25,4,0,0,0,0,1
mina,0.5,4,0,0,0,0,1
wish,0.25,4,0,0,0,1,0
just,0.25,4,0,0,0,0,1
ràpid,0.2,5,1,0,0,0,1
port,0.25,4,0,0,0,0,0
common,0.3333,6,0,0,0,0,0
cap,0.3333,3,0,0,0,0,1
element,0.4286,7,0,0,0,0,0
electric,0.375,8,0,0,0,0,0
sal,0.3333,3,0,0,0,0,1
dad,0.3333,3,0,0,0,0,0
deal,0.5,4,0,0,0,0,0
polzades,0.375,8,0,0,0,0,1
començar,0.375,8,0,1,0,0,1
broke,0.4,5,0,0,0,0,0
tiny,0.25,4,0,0,0,0,0
sota,0.5,4,0,0,0,0,1
baix,0.5,4,0,0,0,0,1
thousand,0.375,8,0,0,0,1,0
all,0.3333,3,0,0,0,0,0
mentida,0.4286,7,0,0,0,0,1
quocient,0.5,8,0,0,0,0,1
blau,0.5,4,0,0,0,0,1
pattern,0.2857,7,0,0,0,1,0
tail,0.5,4,0,0,0,0,0
start,0.2,5,0,0,0,0,0
whose,0.4,5,0,0,0,1,0
guerra,0.5,6,0,0,0,0,1
moment,0.3333,6,0,0,0,0,1
pagar,0.4,5,0,0,0,0,1
que,0.6667,3,0,0,0,0,1
fins,0.25,4,0,0,0,0,1
unitat,0.5,6,0,0,0,0,1
instant,0.2857,7,0,0,0,0,0
ell,0.3333,3,0,0,0,0,1
premsa,0.3333,6,0,0,0,0,1
preparar,0.375,8,0,0,0,0,1
search,0.3333,6,0,0,0,1,0
edge,0.5,4,0,0,0,0,0
stay,0.25,4,0,0,0,0,0
bread,0.4,5,0,0,0,0,0
significarà,0.3636,11,1,0,0,0,1
caràcter,0.25,8,1,0,0,0,1
sortida,0.4286,7,0,0,0,0,1
cert,0.25,4,0,0,0,0,1
sembla,0.3333,6,0,0,0,0,1
shoulder,0.375,8,0,0,0,1,0
metge,0.4,5,0,0,0,0,1
carry,0.2,5,0,0,0,0,0
paraula,0.5714,7,0,0,0,0,1
also,0.5,4,0,0,0,0,0
reach,0.4,5,0,0,0,1,0
quart,0.4,5,0,0,0,0,1
joy,0.3333,3,0,0,0,0,0
directa,0.4286,7,0,0,0,0,1
certain,0.4286,7,0,0,0,0,0
heat,0.5,4,0,0,0,0,0
caure,0.6,5,0,0,0,0,1
walk,0.25,4,0,0,0,0,0
well,0.25,4,0,0,0,0,0
rub,0.3333,3,0,0,0,0,0
oh,0.5,2,0,0,0,0,0
necessitarà,0.3636,11,1,0,0,0,1
success,0.2857,7,0,0,0,0,0
gone,0.5,4,0,0,0,0,0
sucre,0.4,5,0,0,0,0,1
tipus,0.4,5,0,0,0,0,1
quite,0.6,5,0,0,0,0,0
ni,0.5,2,0,0,0,0,1
speak,0.4,5,0,0,0,0,0
front,0.2,5,0,0,0,0,0
capaç,0.4,5,0,1,0,0,1
floor,0.4,5,0,0,1,0,0
cotton,0.3333,6,0,0,0,1,0
pitch,0.2,5,0,0,0,1,0
calenta,0.4286,7,0,0,0,0,1
sentit,0.3333,6,0,0,0,0,1
cama,0.5,4,0,0,0,0,1
chart,0.2,5,0,0,0,1,0
fila,0.5,4,0,0,0,0,1
region,0.5,6,0,0,0,0,0
gel,0.3333,3,0,0,0,0,1
age,0.6667,3,0,0,0,0,0
sudden,0.3333,6,0,0,0,1,0
anar,0.5,4,0,0,0,0,1
figa,0.5,4,0,0,0,0,1
charge,0.3333,6,0,0,0,1,0
noon,0.5,4,0,0,1,0,0
cara,0.5,4,0,0,0,0,1
establir,0.375,8,0,0,0,0,1
tot,0.3333,3,0,0,0,0,1
now,0.3333,3,0,0,0,0,0
band,0.25,4,0,0,0,0,0
són,0.0,3,1,0,0,0,1
silver,0.3333,6,0,0,0,0,0
rich,0.25,4,0,0,0,1,0
farm,0.25,4,0,0,0,0,0
ascensor,0.375,8,0,0,0,0,1
support,0.2857,7,0,0,0,1,0
represent,0.3333,9,0,0,0,0,0
regió,0.4,5,1,0,0,0,1
hundred,0.2857,7,0,0,0,0,0
lay,0.3333,3,0,0,0,0,0
place,0.4,5,0,0,0,0,0
still,0.2,5,0,0,0,0,0
line,0.5,4,0,0,0,0,0
in,0.5,2,0,0,0,0,0
fet,0.3333,3,0,0,0,0,1
sigui,0.6,5,0,0,0,0,1
reunir,0.5,6,0,0,0,0,1
pocs,0.25,4,0,0,0,0,1
trouble,0.4286,7,0,0,0,0,0
especial,0.5,8,0,0,0,0,1
planta,0.3333,6,0,0,0,0,1
soil,0.5,4,0,0,0,0,0
fer,0.3333,3,0,0,0,0,1
wind,0.25,4,0,0,0,0,0
tipus,0.4,5,0,0,0,0,1
només,0.2,5,1,0,0,0,1
sabata,0.5,6,0,0,0,0,1
potser,0.3333,6,0,0,0,0,1
child,0.2,5,0,0,0,1,0
teach,0.4,5,0,0,0,1,0
poema,0.6,5,0,0,0,0,1
dollar,0.3333,6,0,0,0,0,0
liquid,0.5,6,0,0,0,0,0
product,0.2857,7,0,0,0,0,0
noun,0.5,4,0,0,0,0,0
vestit,0.3333,6,0,0,0,0,1
ell,0.3333,3,0,0,0,0,1
passat,0.3333,6,0,0,0,0,1
climb,0.2,5,0,0,0,0,0
cavall,0.3333,6,0,0,0,0,1
crop,0.25,4,0,0,0,0,0
process,0.2857,7,0,0,0,0,0
perill,0.3333,6,0,0,0,0,1
pare,0.5,4,0,0,0,0,1
feed,0.5,4,0,0,1,0,1
which,0.2,5,0,0,0,1,0
part,0.25,4,0,0,0,0,0
entre,0.4,5,0,0,0,0,1
does,0.5,4,0,0,0,0,0
governar,0.375,8,0,0,0,0,1
seva,0.5,4,0,0,0,0,1
sister,0.3333,6,0,0,0,0,0
loud,0.5,4,0,0,0,0,0
moment,0.3333,6,0,0,0,0,0
clean,0.4,5,0,0,0,0,0
happen,0.3333,6,0,0,0,1,0
forest,0.3333,6,0,0,0,0,0
street,0.3333,6,0,0,1,0,0
força,0.4,5,0,1,0,0,1
corrent,0.2857,7,0,0,0,0,1
mida,0.5,4,0,0,0,0,1
tercer,0.3333,6,0,0,0,0,1
massa,0.4,5,0,0,0,0,1
superfície,0.4,10,1,0,0,0,1
estirament,0.4,10,0,0,0,0,1
print,0.2,5,0,0,0,0,1
lletrejar,0.3333,9,0,0,0,0,1
grew,0.25,4,0,0,0,0,0
brillant,0.25,8,0,0,0,0,1
