word,ratio,cantidadLetras,gotAccent,gotCedilla,doubleVocal,enCC,enVocalTrigraph,enGraphs,enEnding,y
dones,0.4,5,0,0,0,0,0,0,0,1
blood,0.4,5,0,0,1,0,0,0,0,0
valor,0.4,5,0,0,0,0,0,0,0,1
patró,0.2,5,1,0,0,0,0,0,0,1
feel,0.5,4,0,0,1,0,0,0,0,0
modern,0.3333,6,0,0,0,0,0,0,0,0
habilitat,0.4444,9,0,0,0,0,0,0,0,1
differ,0.3333,6,0,0,0,1,0,0,0,0
thick,0.2,5,0,0,0,1,0,0,0,0
feet,0.5,4,0,0,1,0,0,0,0,0
brillant,0.25,8,0,0,0,0,0,0,0,1
mida,0.5,4,0,0,0,0,0,0,0,1
LED,0.0,3,0,0,0,0,0,0,0,1
am,0.5,2,0,0,0,0,0,0,0,1
sat,0.3333,3,0,0,0,0,0,0,0,1
speak,0.4,5,0,0,0,0,0,0,0,0
valley,0.3333,6,0,0,0,0,0,0,0,0
por,0.3333,3,0,0,0,0,0,0,0,1
wish,0.25,4,0,0,0,1,0,0,0,0
father,0.3333,6,0,0,0,1,0,0,0,0
six,0.3333,3,0,0,0,0,0,0,0,0
ball,0.25,4,0,0,0,0,0,0,0,0
doble,0.4,5,0,0,0,0,0,0,0,1
end,0.3333,3,0,0,0,0,0,0,0,0
grau,0.5,4,0,0,0,0,0,0,0,1
slow,0.25,4,0,0,0,0,0,0,0,0
mount,0.4,5,0,0,0,0,0,0,0,0
nen,0.3333,3,0,0,0,0,0,0,0,1
eye,0.6667,3,0,0,0,0,0,0,0,0
córrer,0.1667,6,1,0,0,0,0,0,0,1
eight,0.4,5,0,0,0,1,0,1,0,0
thin,0.25,4,0,0,0,1,0,0,0,0
portar,0.3333,6,0,0,0,0,0,0,0,1
decimal,0.4286,7,0,0,0,0,0,0,0,1
say,0.3333,3,0,0,0,0,0,0,0,0
feliç,0.4,5,0,1,0,0,0,0,0,1
past,0.25,4,0,0,0,0,0,0,1,0
batre,0.4,5,0,0,0,0,0,0,0,1
equate,0.6667,6,0,0,0,0,0,0,1,0
particular,0.4,10,0,0,0,0,0,0,0,1
estat,0.4,5,0,0,0,0,0,0,0,1
final,0.4,5,0,0,0,0,0,0,0,0
no,0.5,2,0,0,0,0,0,0,0,1
caure,0.6,5,0,0,0,0,0,0,0,1
preparar,0.375,8,0,0,0,0,0,0,0,1
finger,0.3333,6,0,0,0,0,0,0,0,0
while,0.4,5,0,0,0,1,0,0,0,0
now,0.3333,3,0,0,0,0,0,0,0,0
molt,0.25,4,0,0,0,0,0,0,0,1
or,0.5,2,0,0,0,0,0,0,0,1
suggerir,0.375,8,0,0,0,1,0,0,0,1
foot,0.5,4,0,0,1,0,0,0,0,0
determine,0.4444,9,0,0,0,0,0,0,0,0
propietat,0.4444,9,0,0,0,0,0,0,0,1
since,0.4,5,0,0,0,0,0,0,0,0
esquerra,0.5,8,0,0,0,1,0,0,0,1
on,0.5,2,0,0,0,0,0,0,0,1
second,0.3333,6,0,0,0,0,0,0,0,0
believe,0.5714,7,0,0,0,0,0,0,0,0
sleep,0.4,5,0,0,1,0,0,0,0,0
temps,0.2,5,0,0,0,0,0,0,0,1
office,0.5,6,0,0,0,1,0,0,0,0
pàgina,0.3333,6,1,0,0,0,0,0,0,1
fins,0.25,4,0,0,0,0,0,0,0,1
contra,0.3333,6,0,0,0,0,0,0,0,1
to,0.5,2,0,0,0,0,0,0,0,1
receive,0.5714,7,0,0,0,0,0,0,0,0
ground,0.3333,6,0,0,0,0,0,0,0,0
coberta,0.4286,7,0,0,0,0,0,0,0,1
clock,0.2,5,0,0,0,1,0,0,0,0
smile,0.4,5,0,0,0,1,0,0,0,0
bola,0.5,4,0,0,0,0,0,0,0,1
against,0.4286,7,0,0,0,0,0,0,1,0
melodia,0.5714,7,0,0,0,0,0,0,0,1
seat,0.5,4,0,0,0,0,0,0,0,0
cosa,0.5,4,0,0,0,0,0,0,0,1
escriure,0.5,8,0,0,0,1,0,0,0,1
riu,0.6667,3,0,0,0,0,0,0,0,1
por,0.3333,3,0,0,0,0,0,0,0,1
company,0.2857,7,0,0,0,0,0,0,0,0
vaixell,0.4286,7,0,0,0,0,0,0,0,1
from,0.25,4,0,0,0,0,0,0,0,0
glass,0.2,5,0,0,0,0,0,0,0,0
do,0.5,2,0,0,0,0,0,0,0,0
mercat,0.3333,6,0,0,0,0,0,0,0,1
can,0.3333,3,0,0,0,0,0,0,0,0
was,0.3333,3,0,0,0,0,0,0,0,0
bear,0.5,4,0,0,0,0,0,0,0,0
equal,0.6,5,0,0,0,0,0,0,0,0
vowel,0.4,5,0,0,0,0,0,0,0,0
deixar,0.5,6,0,0,0,0,0,0,0,1
afraid,0.5,6,0,0,0,0,0,0,0,0
car,0.3333,3,0,0,0,0,0,0,0,0
recta,0.4,5,0,0,0,0,0,0,0,1
own,0.3333,3,0,0,0,0,0,0,0,0
his,0.3333,3,0,0,0,0,0,0,0,0
slave,0.4,5,0,0,0,0,0,0,0,0
regla,0.4,5,0,0,0,0,0,0,0,1
machine,0.4286,7,0,0,0,1,0,0,0,0
vadonar,0.4286,7,0,0,0,0,0,0,0,1
lost,0.25,4,0,0,0,0,0,0,1,0
less,0.25,4,0,0,0,0,0,0,0,0
seven,0.4,5,0,0,0,0,0,0,0,0
describe,0.375,8,0,0,0,1,0,0,0,0
cent,0.25,4,0,0,0,0,0,0,0,1
donar,0.4,5,0,0,0,0,0,0,0,1
trade,0.4,5,0,0,0,0,0,0,0,0
fresc,0.2,5,0,0,0,0,0,0,0,1
am,0.5,2,0,0,0,0,0,0,0,0
straight,0.25,8,0,0,0,1,0,1,0,0
fat,0.3333,3,0,0,0,0,0,0,0,0
bord,0.25,4,0,0,0,0,0,0,0,1
spread,0.3333,6,0,0,0,1,0,0,0,0
about,0.6,5,0,0,0,0,0,0,0,0
esperar,0.4286,7,0,0,0,0,0,0,0,1
tail,0.5,4,0,0,0,0,0,0,0,0
often,0.4,5,0,0,0,0,0,0,0,0
resposta,0.375,8,0,0,0,0,0,0,0,1
treball,0.2857,7,0,0,0,0,0,0,0,1
seem,0.5,4,0,0,1,0,0,0,0,0
busy,0.25,4,0,0,0,0,0,0,0,0
never,0.4,5,0,0,0,0,0,0,0,0
run,0.3333,3,0,0,0,0,0,0,0,0
sovint,0.3333,6,0,0,0,0,0,0,0,1
that,0.25,4,0,0,0,1,0,0,0,0
qualsevol,0.4444,9,0,0,0,0,0,0,0,1
dansa,0.4,5,0,0,0,0,0,0,0,1
dark,0.25,4,0,0,0,0,0,0,0,0
farà,0.25,4,1,0,0,0,0,0,0,1
pesada,0.5,6,0,0,0,0,0,0,0,1
os,0.5,2,0,0,0,0,0,0,0,1
safe,0.5,4,0,0,0,0,0,0,0,0
indústria,0.3333,9,1,0,0,0,0,0,0,1
terreny,0.2857,7,0,0,0,0,0,0,0,1
nen,0.3333,3,0,0,0,0,0,0,0,1
cotton,0.3333,6,0,0,0,1,0,0,0,0
portat,0.3333,6,0,0,0,0,0,0,0,1
vela,0.5,4,0,0,0,0,0,0,0,1
tranquil,0.375,8,0,0,0,0,0,0,0,1
governar,0.375,8,0,0,0,0,0,0,0,1
noun,0.5,4,0,0,0,0,0,0,0,0
període,0.4286,7,1,0,0,0,0,0,0,1
cause,0.6,5,0,0,0,0,0,0,0,0
